呵	;kk;kk;kk;dz;ks;kk;kh
嗄	;kw;kw;kx;dh;kd;kw;kh
錒	;jk;jk;ja;zz;qb;;jv
𠼞	;ry;ry;hy;jc;wg;;
𥥩	;bk;bk;xx;ed;pw;;
𨉚	;ud;ud;uy;za;tm;;
愛	;vw;pw;vw,xw;yh;ep;;pd
捱	;ft;ft;fy;ug;rd;ft;fh
礙	;uz;ur;uy;mt;dx;;hp
娭	;nu;nu;ny;bo;vc;;nv
薆	;cw;cw;ca;lh;ae;;cd
靉	;yw;yw;ya;th;ff;;hp
曖	;ow;ow;oa;oh;je;;gp
欬	;wq;wr;qh;ke;yn;;dp
餲	;ur;rv;uh;qf;wp,wy;;rg
噯	;kw;kw;ka;dh;ke;;kp
敳	;uw;ew;wd,wq;vh;mg;;sp
懓	;xw;xw;xa;hh;ne;;xp
硙	;uj;uj;uq,uy;mv;dm;uj;hs
僾	;rw;rw;ra;jh;we;;rp
藹	;cr;cv;ch,cy;lf;ay;;cv
溰	;db;da;dd,dq;kz;im;;us
焥	;hv;hv;hw;cz;op;;qb
嬡	;nw;nw;na;bh;ve;;np
懝	;xz;xr;xy;ht;nx;;xp
瞹	;ow;ow;oa;qh;he;;sp
諰	;yx;wx;ys;sh;yl;;as
隑	;eb;ea;ed,eq;tz;bm;;vs
靄	;yr;yv;yh,yy;tf;fy;;hv
凒	;db;da;dd,dq;wz;um;;ds
啀	;kt;kt;ky;dg;kd;;kh
娾	;nt;nt;ny;bg;vd;;nh
昹	;oy;oy;oy;ok;jy;;rd
溾	;dg;dg;dg;ka;ir;;up
濭	;dm;dm;dg,dm;ka;ia;;uc
硋	;ur;ur;uh;mk;dy;;hd
磑	;ub;ua;ud,uq;mz;dm;;hs
銰	;jx;jx;ja;zb;qa;;
鎄	;jk;jy;ja;zd;qy;;jd
鑀	;jw;jw;ja;zh;qe;;jp
㑸	;rk;rk;rk;jz;wd;;
㕌	;ic;ic;id;xk;dj;;
㗒	;kk;ky;ka;dd;ky;;
㗨	;kk;kk;ky;nd;at;;
㘷	;tx;tx;ta;gb;fa;;
㝶	;sc;sc;cs;yk;lq;;
㢊	;gk;gk;yq;xz;yd;;
㤅	;wx;ax;xj;dh;aq;;
㱯	;db;da;dq;gz;gq;;
㿄	;bu;by;by;ar;ua;;
䀳	;ou;ou;ou;qx;hg;;
䅬	;hm;hm;hy;xa;tu;;
䑂	;ob;ob;oy;vh;ev;;
䔽	;cr;cv;ck;lf;ai;;
䝽	;bt;ot;by;og;md;;
䨠	;yr;yv;yh;tf;fj;;
䬵	;ur;rr;uh;qk;wy;;
䶣	;vb;va;iq;lz;hb;;
伌	;rv;rv;re;jz;wd;;rh
嘊	;kt;kt;ky;dg;km;;ks
堨	;tr;tv;th;gf;fj;tv;tg
塧	;tm;tm;ty;ga;fu;;td
壒	;tm;tm;tg,tm;ga;fa;;tc
嵦	;ub;ea;ud,uq;vz;mm;;ss
敱	;uy;ey;uq;vh;mg;;ss
璦	;ww;ww;wa;nh;ge;;wp
皚	;bb;ba;bd,bq;uz;rm;;ps
皧	;bw;bw;ba;uh;re;;pp
絠	;so;yo;sy;iv;xd;;ih
譪	;yr;wv;yg;sf;ya;;ac
譺	;yz;wr;yy;st;yx;;ap
賹	;bm;om;by;oa;mu;;sd
躷	;un;un;uw;zb;tm;;pe
馤	;hr;hv;xh;xf;tj;;eg
鱫	;yw;aw;ya;wh;qo;;pp
鴱	;cn;cn;na;lx;aq;;cp
𠊎	;rt;rt;ry,rg;jg;wd;;
𠳳	;km;km;kd;de;kk;;
𡁍	;kq;kr;hq;de;kp;;
𡉓	;tn;tn;tn;gb;fv;;
𡟓	;nk;ny;na;bd;vy;;
𡰽	;uy;uy;uy;co;nd;;
𡶃	;uv;ev;uy;va;my;;
𢟪	;gx;gx;xj,jx;ih;vc;;
𢟰	;xu;xu;xy,xu;hj;nu;;
𢣏	;xm;xm;xg;ha;na;;
𢣕	;bx;bx;xy,yx;vh;xt;;
𢰇	;fu;fu;fs;uo;rw;;
𣋞	;om;om;og;oa;ja;;
𣜬	;mw;mw;ma;eh;se;;
𣝅	;mz;mr;my;et;sx;;
𣤃	;bn;bn;bn,qn;vv;xf;;
𣩄	;dm;dm;dg;ga;gq;;
𣩱	;dm;dm;dg;ga;gq;;
𤢵	;qd;qy;ql;mv;qt;;
𤸖	;bk;by;ba;ad;uy;;
𤸳	;bb;ba;bq;az;um;;
𤻢	;by;by;by;ar;ua;;
𥡽	;hw;hw;hw;xh;tq;;
𥤦	;by;by;xy;er;pw;;
𥴨	;vw;vw;va;rh;te;;
𦗍	;ef;ef;ep;ql;bu;;
𦗐	;eu;eu;ey,eu;qj;bu;;
𦤦	;zr;zv;ih;of;th;;
𦥂	;tt;tt;vg,tv,vk;gy;ff;;
𦥈	;yt;yt;qv,vb;gy;ud;;
𦩴	;vb;va;vq;iz;te;;
𧏹	;iu;iu;iy,iu;cj;ju;;
𧓁	;iw;iw;ia;ch;je;;
𧡋	;ij;ie;jy,ij,jg;xe;df;;
𧪚	;yb;wa;yq;sz;ym;;
𧰿	;ux;ux;ua;jb;ea;;
𧵨	;bn;on;ba;ob;mp;;
𨶂	;mm;mm;my;aa;uu;;
𩂒	;ys;ys;ys;tv;fd;;
𩂢	;yu;yn;yv;tk;ft;;
𩈋	;mj;ml;mj;bp;dm;;
𩪂	;gb;ga;gq;fz;me;;
𩫇	;bk;bk;bg;cg;gi;;
𩮖	;eb;aa;iq;pz;de;;
𪇈	;vn;pn;na,an;yx;ep;;
𪕭	;jr;jv;uh;pf;vn;;
广	;di;di;dp;xg;yy;wp;dp
厂	;ap;ap;ap;xc;dg;ap;hp
鮟	;yn;an;ya;wb;qo;;pb
闇	;mo;mo;my;ax;uu;;vg
厈	;ig;ig;ig;xe;df;;hs
菴	;cd;cd;cd,cy;la;ad;;cv
晻	;od;od;od,oy;oa;jd;;gh
咹	;kn;kn;ka;db;kp;;kb
鞌	;bg;bg;bg,ga;wt;pv;;bs
荌	;cn;cn;ca;lb;ap;;cn
銨	;jn;jn;ja;zb;qp;;jb
啽	;kc;kc;kc,ky;dl;kw;;kr
痷	;bd;bd;bd,by;aa;ud;;dv
韽	;ro;ro;yy;jx;wy;;rd
萻	;co;co;cy;lx;au;;cg
儑	;rh;rh;rs;jc;wj;;rg
媕	;nc;nc;nc,ny;bl;vw;;nr
峖	;un;en;ua;vb;mp;;sb
堓	;tg;tg;ta;ge;fm;;ts
洝	;dn;dn;da;kb;ip;;ub
盫	;rm;rm;hm,my;ja;wg;;rh
腤	;oo;oo;oy;vx;eu;;yd
錌	;jg;jg;ja;ze;qm;;js
隌	;eo;eo;ey;tx;bu;;vd
㜝	;ny;ny;ny;by;vw;;
㟁	;ug;eg;ua;ve;md;;
㱘	;iv;iv;vy;xs;dj;;
㸩	;ng;ng;ng;qe;tr;;
㽢	;td;td;ty;qa;ld;;
䁆	;od;od;oy;qa;hd;;
䅁	;bh;bh;ha;wx;pv;;
䅖	;hd;hd;hy;xa;td;;
